date,logreturns
11/11/16,0.010556476
11/10/16,-0.001035901
11/9/16,0.01632888
11/8/16,-0.004207647
11/7/16,-0.006512423
11/4/16,-0.024013814
11/3/16,0.003991628
11/2/16,0.010165928
11/1/16,0.008432878
10/31/16,0.007175877
10/28/16,0.000899357
10/27/16,0.006401157
10/26/16,0.004978849
10/25/16,0.006328953
10/24/16,0.003779049
10/21/16,-0.011905695
10/20/16,-0.00395475
10/19/16,0.000806675
10/18/16,0.000642806
10/17/16,-0.009039185
10/14/16,0.002563343
10/13/16,-0.001119483
10/12/16,0.003437694
10/11/16,0.000470879
10/10/16,0.014792852
10/7/16,-0.005994921
10/6/16,0.001930495
10/5/16,0.000785507
10/4/16,-0.00375467
10/3/16,0.001470272
9/30/16,0.001864033
9/29/16,-0.007700265
9/28/16,0.007612068
9/27/16,-0.001757343
9/26/16,-0.010231525
9/23/16,0.008627514
9/22/16,0.006656251
9/21/16,-0.007718781
9/20/16,-0.010048775
9/19/16,-0.001905994
9/16/16,0.004572449
9/15/16,0.000383899
9/14/16,-0.015438381
9/13/16,-0.004902369
9/12/16,0.008811651
9/9/16,-0.017599103
9/8/16,0.025823925
9/7/16,0.005782582
9/6/16,-0.000486473
9/2/16,-0.00639163
9/1/16,-0.003088909
8/31/16,-0.002695972
8/30/16,0.00103278
8/29/16,0.003156661
8/26/16,-0.001545728
8/25/16,-0.001728193
8/24/16,0.001684293
8/23/16,0.007290211
8/22/16,-0.002060863
8/19/16,-0.000503396
8/18/16,0.000528351
8/17/16,-0.000671928
8/16/16,-0.001720361
8/15/16,0.006219687
8/12/16,-0.004160185
8/11/16,-0.000784568
8/10/16,-0.004155763
8/9/16,0.002580609
8/8/16,-0.002298422
8/5/16,0.001351302
8/4/16,-0.009942379
8/3/16,-0.002000393
8/2/16,-0.003198804
8/1/16,0.007773977
7/29/16,-0.005441562
7/28/16,-0.001866343
7/27/16,-0.00393027
7/26/16,-0.006566424
7/25/16,-0.001323618
7/22/16,3.00E-05
7/21/16,-0.004091022
7/20/16,0.002188255
7/19/16,-0.011645316
7/18/16,0.003556346
7/15/16,-0.006482452
7/14/16,0.001449982
7/13/16,-0.006705794
7/12/16,0.002589853
7/11/16,-0.005015165
7/8/16,-0.005802019
7/7/16,-0.015305252
7/6/16,-0.003342216
7/5/16,-0.007667632
7/1/16,0.006032891
6/30/16,-0.004458435
6/29/16,-0.012060576
6/28/16,-0.017162339
6/27/16,-0.02105941
6/24/16,0.019947025
6/23/16,0.041540592
6/22/16,-0.014145528
6/21/16,0.001966404
6/20/16,-0.003004464
6/17/16,-0.005876108
6/16/16,0.011331457
6/15/16,-0.00333268
6/14/16,0.003486367
6/13/16,-0.000486004
6/10/16,0.008620229
6/9/16,0.011509264
6/8/16,0.001757937
6/7/16,-0.001669302
6/6/16,0.002332706
6/3/16,-0.00306418
6/2/16,0.004769319
6/1/16,-0.002492428
5/31/16,0.000844763
5/27/16,-0.002512055
5/26/16,-0.005461932
5/25/16,-0.002572402
5/24/16,-0.007203478
5/23/16,-0.020274804
5/20/16,0.001789402
5/19/16,-0.010905244
5/18/16,0.0052347
5/17/16,-0.003618611
5/16/16,0.013310488
5/13/16,-0.012392472
5/12/16,0.003755769
5/11/16,0.004186664
5/10/16,0.009359802
5/9/16,-0.013910352
5/6/16,-0.002550916
5/5/16,-0.004789555
5/4/16,0.000586906
5/3/16,0.006790421
5/2/16,0.009150911
4/29/16,-0.009171642
4/28/16,0.005212934
4/27/16,0.01199245
4/26/16,0.008192063
4/25/16,0.00474063
4/22/16,1.34E-05
4/21/16,0.014777878
4/20/16,-7.93E-05
4/19/16,-0.000738086
4/18/16,0.006224677
4/15/16,-0.004887709
4/14/16,0.002519297
4/13/16,2.20E-05
4/12/16,-0.012964824
4/11/16,-0.00834199
4/8/16,0.003633465
4/7/16,7.82E-05
4/6/16,0.015190345
4/5/16,-0.016203085
4/4/16,0.009117843
4/1/16,0.004506973
3/31/16,-0.010743548
3/30/16,0.001611227
3/29/16,-0.005170462
3/28/16,-0.015712403
3/24/16,0.001694762
3/23/16,-0.00067438
3/22/16,0.007932007
3/21/16,-0.002400561
3/18/16,-0.003654756
3/17/16,-0.00239925
3/16/16,0.000895001
3/15/16,-0.008464038
3/14/16,5.72E-05
